Sex,Length,Diameter,Height,Whole_Weight,Older_12
M,0.395,NA,0.115,0.316,NA
M,0.4,0.3,0.125,0.417,0
M,0.415,0.325,0.14,0.417,0
M,0.315,0.25,0.09,0.203,1
F,NA,NA,0.09,0.207,0
M,0.36,0.295,0.13,0.2765,0
I,0.295,0.225,0.09,0.1105,0
I,0.325,0.25,0.08,0.176,0
M,0.375,0.3,0.1,0.2465,1
I,0.28,0.205,0.055,0.1135,0
M,0.355,0.265,0.085,0.201,0
M,0.35,NA,0.08,0.1915,NA
I,0.275,0.2,0.065,0.1035,0
I,0.29,0.205,0.07,0.0975,0
I,0.25,0.19,0.06,0.0765,0
I,0.18,0.125,0.035,0.0265,0
I,0.15,0.1,0.025,0.015,0
I,0.16,0.11,0.025,0.018,0
M,0.555,NA,0.16,1.0575,NA
M,0.555,NA,0.15,1.092,NA
M,0.525,0.41,0.13,NA,NA
M,0.465,0.36,0.08,0.488,1
F,0.49,NA,0.11,NA,1
M,0.4,0.305,0.085,0.297,0
NA,NA,NA,0.105,NA,NA
M,0.505,0.4,0.125,0.77,1
NA,NA,NA,0.12,NA,NA
M,0.525,0.4,0.13,0.8295,1
M,0.545,0.42,0.13,0.879,1
M,0.52,0.4,0.12,0.823,1
M,0.505,0.38,0.13,0.656,1
M,0.525,0.425,0.12,NA,NA
M,NA,NA,0.125,0.6565,0
M,0.52,NA,0.115,NA,1
F,0.52,0.405,0.125,NA,NA
M,0.535,0.41,0.135,0.862,1
M,0.445,0.345,0.09,0.3795,0
M,NA,NA,0.205,0.835,1
F,0.36,0.265,0.09,0.2065,0
F,0.535,0.42,0.15,0.7365,1
F,0.52,0.405,0.14,0.8175,1
NA,NA,0.415,NA,NA,1
F,0.53,0.42,0.13,1.001,1
F,NA,NA,0.2,1.676,1
M,0.52,NA,0.14,0.6595,NA
M,0.535,0.42,0.13,0.8055,1
M,0.695,NA,0.175,1.5165,NA
F,NA,0.39,NA,0.612,NA
M,0.485,NA,0.12,NA,0
F,0.605,0.46,0.17,1.122,1
NA,0.58,0.455,0.165,NA,1
M,0.65,0.515,0.175,NA,NA
M,0.62,NA,0.185,NA,1
M,NA,0.525,NA,1.1375,NA
F,0.605,0.495,0.19,1.437,1
M,0.57,NA,0.155,1.116,NA
M,0.57,NA,0.12,NA,1
M,0.585,0.405,0.15,1.2565,1
F,NA,0.44,NA,0.946,NA
F,0.54,NA,0.135,0.959,NA
NA,NA,NA,0.19,NA,NA
NA,NA,NA,0.145,NA,NA
M,0.545,0.45,0.15,NA,NA
F,0.59,0.445,0.13,1.1325,1
M,0.345,0.27,0.095,0.197,0
F,0.55,0.43,0.155,0.785,1
F,NA,NA,0.17,0.949,1
F,0.53,0.455,0.165,0.9805,1
I,NA,0.375,NA,0.521,NA
M,0.385,0.275,0.115,0.2685,0
M,0.455,0.34,0.135,0.462,0
M,0.49,0.38,0.14,NA,NA
M,NA,0.41,NA,0.732,NA
M,NA,NA,0.145,0.6775,1
M,0.49,0.38,0.14,0.6385,1
M,0.465,0.35,0.14,0.5755,1
F,0.47,0.36,0.145,NA,NA
NA,0.56,0.41,0.165,NA,1
M,NA,NA,0.15,0.6415,1
NA,NA,NA,0.145,NA,NA
I,NA,NA,0.125,0.244,0
I,0.215,0.155,0.06,0.0525,0
M,0.55,NA,0.175,NA,1
NA,0.515,0.39,0.13,NA,0
M,NA,0.385,NA,0.709,NA
F,0.505,NA,0.16,NA,0
NA,NA,NA,0.165,NA,NA
F,0.57,0.465,0.16,0.8935,0
F,0.485,0.375,0.135,0.556,0
M,0.47,0.37,0.18,0.51,0
M,0.575,0.45,0.165,0.9215,1
M,0.58,NA,0.16,NA,1
M,0.515,0.405,0.145,0.695,1
M,0.53,0.41,0.155,0.7155,1
M,0.44,0.335,0.11,0.394,0
M,NA,NA,0.16,0.745,1
NA,NA,0.345,NA,NA,1
NA,0.46,0.34,0.135,NA,0
M,0.45,0.335,0.125,0.349,0
M,0.425,0.33,0.13,0.4405,0
I,NA,NA,0.1,0.22,0
M,0.515,0.38,0.135,0.6615,0
M,0.405,0.305,0.12,0.3185,0
I,0.28,0.205,0.07,0.1015,0
NA,NA,0.4,NA,NA,1
F,0.44,0.34,0.13,0.4195,0
F,0.52,0.41,0.115,0.807,1
NA,NA,0.405,NA,NA,1
F,0.49,0.365,0.13,0.6835,1
I,0.235,0.175,0.055,0.067,0
I,0.255,0.185,0.06,0.088,0
I,0.315,0.24,0.085,0.1715,0
I,0.325,0.25,0.08,0.1735,0
I,0.335,0.25,0.08,0.183,0
I,0.35,0.27,0.09,0.2055,0
I,0.35,0.25,0.07,0.18,0
NA,NA,0.3,NA,NA,0
NA,NA,0.275,NA,NA,0
I,0.37,0.275,0.14,0.2215,0
I,0.38,0.275,0.095,0.1375,0
I,0.385,0.29,0.095,0.312,0
NA,NA,NA,0.1,NA,NA
I,0.395,0.29,0.095,0.319,0
I,NA,0.29,NA,0.304,NA
I,0.4,0.31,0.1,0.306,0
I,0.41,0.325,0.1,0.394,0
I,NA,NA,0.11,0.3735,0
M,0.415,NA,0.1,NA,0
I,0.425,NA,0.1,NA,0
I,0.44,0.365,0.115,0.501,0
I,0.445,0.335,0.1,0.4895,0
I,0.445,0.325,0.1,0.378,0
I,0.45,0.35,0.13,0.547,0
NA,NA,0.375,NA,NA,0
I,0.475,NA,0.125,0.5465,NA
F,0.48,NA,0.135,NA,0
I,0.485,NA,0.105,0.498,NA
M,0.49,0.385,0.125,0.609,0
F,0.495,0.41,0.125,0.7555,0
M,0.5,0.4,0.125,0.5975,0
M,0.505,NA,0.14,0.8275,NA
M,0.525,NA,0.13,0.7635,NA
M,NA,NA,0.125,0.891,0
F,0.54,0.42,0.14,0.805,1
NA,0.545,0.44,0.135,NA,0
F,0.55,0.43,0.125,NA,NA
M,0.55,0.45,0.15,NA,NA
F,0.55,0.45,0.15,0.875,0
M,0.555,NA,0.145,0.9685,NA
M,0.565,0.45,0.155,1.0595,0
M,0.57,0.455,0.15,0.952,0
M,0.57,0.435,0.13,NA,NA
NA,NA,0.465,NA,NA,0
M,0.59,0.475,0.165,1.077,0
M,0.59,NA,0.13,1.102,NA
F,0.595,0.48,0.15,1.11,0
F,0.595,0.48,0.16,1.2095,0
F,0.595,0.475,0.16,1.1405,0
F,0.595,0.465,0.14,1.113,1
M,0.6,NA,0.175,1.3445,NA
F,0.6,NA,0.155,1.21,NA
M,0.6,NA,0.175,1.29,NA
F,0.605,0.475,0.175,1.382,0
NA,NA,NA,0.16,NA,NA
F,0.615,0.5,0.175,1.377,1
F,0.615,0.52,0.15,NA,NA
M,0.615,0.51,0.15,NA,NA
M,0.615,NA,0.165,NA,1
F,0.62,NA,0.16,NA,1
NA,0.62,0.5,0.165,NA,0
F,NA,0.49,NA,1.2085,NA
NA,NA,0.49,NA,NA,1
M,0.63,NA,0.165,NA,1
M,0.635,0.51,0.17,1.3555,0
F,0.635,NA,0.15,1.376,NA
F,0.635,0.485,0.165,1.2945,0
F,0.64,0.51,0.165,1.486,0
M,0.65,0.525,0.175,NA,NA
M,0.655,0.52,0.165,NA,NA
M,0.655,0.58,0.205,2.0805,1
M,0.66,0.53,0.17,1.3905,1
M,0.66,NA,0.19,NA,0
NA,NA,0.585,NA,NA,0
F,NA,0.525,NA,1.8095,NA
F,0.675,0.525,0.155,1.4785,0
NA,0.68,0.56,0.195,NA,1
F,0.685,0.54,0.16,1.6675,1
F,0.695,NA,0.22,1.834,NA
M,0.73,0.595,0.23,2.8255,1
I,0.205,0.14,0.05,0.046,0
I,0.24,0.175,0.055,0.0705,0
I,0.24,0.175,0.065,0.0665,0
I,0.255,0.19,0.05,0.083,0
I,0.255,0.18,0.055,0.083,0
I,0.265,0.195,0.06,0.092,0
I,0.28,0.12,0.075,0.117,0
I,0.295,0.23,0.08,0.1625,0
I,0.3,0.235,0.08,0.131,0
I,0.3,0.23,0.095,0.1385,0
I,0.305,0.22,0.07,0.141,0
I,0.315,0.235,0.075,0.1485,0
I,0.315,0.23,0.07,0.144,0
I,NA,NA,0.09,0.1575,0
I,0.325,0.24,0.075,0.187,0
I,0.33,0.265,0.085,0.196,0
I,0.335,0.25,0.075,0.1825,0
I,0.335,NA,0.075,0.186,NA
I,0.34,0.25,0.075,0.1785,0
NA,NA,NA,0.07,NA,NA
I,0.345,0.265,0.1,0.2455,0
I,0.37,0.29,0.095,0.249,0
I,NA,NA,0.095,0.2865,0
I,NA,NA,0.09,0.215,0
I,0.385,0.265,0.08,0.251,0
I,0.41,0.31,0.09,0.339,0
I,0.41,0.305,0.09,0.3535,0
I,0.41,0.31,0.09,0.3335,0
I,0.415,0.33,0.09,0.3595,0
I,NA,NA,0.115,0.376,0
I,NA,NA,0.1,0.3435,0
I,0.425,0.34,0.1,0.382,0
I,0.425,0.315,0.1,0.377,0
I,0.43,0.325,0.1,0.3645,0
I,0.43,0.325,0.09,0.425,0
I,0.435,0.325,0.12,0.3995,0
I,0.435,0.34,0.115,0.3925,0
I,0.44,NA,0.13,NA,0
I,0.44,0.325,0.09,0.35,0
F,0.445,NA,0.11,NA,0
I,0.445,0.35,0.13,0.4195,0
I,0.45,0.36,0.13,0.478,0
I,0.45,0.355,0.105,0.4445,0
NA,NA,NA,0.11,NA,NA
I,0.45,0.335,0.105,0.447,0
I,0.455,0.355,0.125,0.5325,0
I,NA,0.375,NA,0.497,NA
I,0.46,0.36,0.1,0.4635,0
I,0.46,0.345,0.105,0.449,0
I,0.465,0.365,0.115,0.467,0
I,0.465,0.37,0.115,0.534,0
I,0.465,0.345,0.11,0.4415,0
F,0.465,0.35,0.125,0.482,0
M,0.47,0.365,0.12,0.612,0
F,0.47,0.365,0.12,0.582,0
M,0.475,0.37,0.125,NA,NA
NA,NA,NA,0.12,NA,NA
M,0.48,0.375,0.115,0.6765,0
M,0.48,0.385,0.145,NA,NA
M,0.48,0.36,0.1,0.439,0
M,0.48,0.365,0.12,0.6015,0
NA,NA,0.37,NA,NA,0
M,0.49,NA,0.125,0.649,NA
M,0.495,0.395,0.135,0.6335,0
M,0.495,0.4,0.135,0.61,0
M,0.5,0.39,0.135,0.6595,0
NA,0.5,0.385,0.12,NA,0
M,NA,NA,0.135,0.6425,0
M,0.5,0.4,0.125,0.6725,0
F,NA,0.39,NA,0.674,NA
I,0.505,NA,0.15,0.685,NA
M,0.505,0.41,0.125,0.642,0
I,0.505,0.355,0.125,NA,NA
NA,NA,NA,0.135,NA,NA
I,NA,NA,0.1,0.5785,0
I,0.51,0.405,0.135,0.769,0
M,0.51,0.405,0.15,0.7035,0
M,NA,NA,0.145,0.796,0
F,0.515,NA,0.14,0.834,NA
M,0.515,0.39,0.155,0.7125,0
F,0.525,0.415,0.14,0.724,0
M,0.525,NA,0.14,0.7325,NA
F,0.53,0.425,0.13,NA,NA
NA,0.53,0.425,0.15,NA,0
M,0.53,NA,0.125,0.6515,NA
F,0.535,0.4,0.135,0.8215,0
M,0.535,0.43,0.14,0.7165,0
M,0.535,NA,0.14,0.874,NA
F,0.55,0.445,0.155,0.9905,0
F,0.55,0.43,0.14,0.8105,0
NA,NA,0.455,NA,NA,0
NA,0.565,0.4,0.13,NA,0
M,0.57,0.45,0.155,1.195,0
M,0.57,0.45,0.155,NA,NA
F,0.57,0.455,0.15,1.107,0
M,0.57,0.445,0.14,NA,NA
NA,NA,NA,0.17,NA,NA
M,0.575,0.475,0.16,1.114,0
F,0.575,NA,0.16,1.103,NA
F,0.58,0.46,0.15,1.1155,0
NA,NA,NA,0.18,NA,NA
M,0.58,0.455,0.15,1.012,0
F,0.58,0.45,0.145,NA,NA
M,0.58,0.49,0.13,1.1335,0
M,0.59,0.465,0.155,1.136,1
NA,NA,0.47,NA,NA,0
F,0.59,0.455,0.145,1.063,0
F,0.595,0.47,0.155,1.121,1
F,0.595,0.45,0.15,1.114,1
M,0.595,0.475,0.165,1.213,0
NA,NA,0.46,NA,NA,0
M,0.595,0.455,0.15,1.044,0
F,0.605,0.49,0.15,1.1345,0
NA,0.605,0.475,0.155,NA,0
NA,0.605,0.47,0.165,NA,1
M,0.61,0.47,0.15,1.1625,1
M,0.61,0.475,0.155,1.168,0
F,0.615,0.48,0.16,1.2525,0
NA,NA,0.51,NA,NA,1
F,0.625,0.48,0.17,1.3525,0
M,0.625,0.49,0.175,1.3325,0
NA,NA,0.475,NA,NA,0
F,0.625,0.5,0.165,1.288,0
F,0.625,0.485,0.2,1.38,0
NA,NA,0.485,NA,NA,0
F,NA,0.495,NA,1.3075,NA
NA,NA,NA,0.15,NA,NA
NA,0.635,0.49,0.175,NA,1
M,NA,0.525,NA,1.4065,NA
M,NA,0.505,NA,1.4025,NA
F,0.64,0.5,0.17,1.5175,1
NA,NA,NA,0.175,NA,NA
F,0.645,0.5,0.155,1.2205,0
M,0.645,NA,0.175,1.636,NA
M,0.645,0.52,0.175,1.561,0
F,NA,0.505,NA,1.4325,NA
NA,0.645,0.5,0.175,NA,1
F,0.645,0.5,0.16,1.2465,0
F,0.645,0.515,0.15,1.212,0
M,NA,0.495,NA,1.304,NA
M,0.65,NA,0.21,1.6785,NA
M,0.65,0.525,0.185,1.622,0
NA,NA,0.46,NA,NA,0
NA,0.655,0.51,0.175,NA,0
F,0.66,0.505,0.185,1.528,1
M,0.66,NA,0.19,NA,0
M,0.66,NA,0.195,NA,0
F,0.66,0.475,0.18,NA,NA
M,NA,NA,0.165,1.6085,1
NA,NA,NA,0.225,NA,NA
F,NA,NA,0.195,1.8375,1
M,0.68,NA,0.185,1.607,NA
M,NA,0.525,NA,1.7005,NA
M,0.69,0.505,0.2,1.872,0
F,0.695,0.535,0.175,1.8385,0
F,NA,NA,0.18,1.685,1
NA,NA,0.565,NA,NA,1
M,0.715,0.565,0.175,1.9525,0
F,0.715,0.525,0.185,1.56,1
NA,NA,NA,0.22,NA,NA
M,0.765,NA,0.22,NA,1
I,0.185,0.13,0.045,0.029,0
I,0.195,0.15,0.045,0.0375,0
I,0.195,0.135,0.04,0.0325,0
I,0.2,0.155,0.04,0.0435,0
I,0.225,0.165,0.055,0.059,0
I,0.245,0.18,0.065,0.071,0
I,0.25,0.18,0.065,0.0685,0
I,0.265,0.195,0.055,0.084,0
I,0.275,0.195,0.065,0.106,0
I,0.28,0.21,0.085,0.1075,0
I,0.285,0.22,0.065,0.096,0
NA,NA,0.22,NA,NA,0
I,0.315,0.235,0.055,0.151,0
I,0.32,0.225,0.085,0.1415,0
I,0.34,0.265,0.08,0.2015,0
I,0.37,0.28,0.1,0.221,0
I,0.375,0.28,0.08,0.2345,0
I,0.375,0.275,0.1,0.2325,0
I,0.385,0.29,0.08,0.2485,0
I,0.4,0.32,0.095,0.348,0
I,0.405,0.3,0.11,0.32,0
I,0.41,NA,0.1,0.282,NA
I,NA,0.325,NA,0.3245,NA
I,0.42,0.3,0.105,0.316,0
I,0.42,0.32,0.11,0.3625,0
I,0.42,0.31,0.095,0.279,0
I,0.425,0.325,0.115,0.3685,0
M,0.43,0.335,0.12,0.397,0
I,0.435,0.33,0.11,0.413,0
I,0.435,0.345,0.115,0.418,0
I,0.44,0.33,0.11,0.3705,0
I,0.445,0.345,0.105,NA,NA
I,0.445,0.34,0.145,0.434,0
I,0.445,0.335,0.11,0.411,0
I,0.45,0.365,0.125,NA,NA
I,0.45,0.34,0.12,0.4925,0
I,0.45,0.33,0.105,0.3715,0
NA,0.45,0.33,0.1,NA,0
I,0.45,0.33,0.11,0.3685,0
I,0.46,0.35,0.115,0.4155,0
M,0.47,0.36,0.105,0.544,0
I,0.47,0.38,0.125,0.4845,0
I,0.475,0.35,0.11,0.4565,0
I,NA,NA,0.1,0.4545,0
I,0.48,0.38,0.125,0.6245,0
M,0.49,0.465,0.125,0.5225,0
I,0.5,0.375,0.14,0.5495,0
I,0.5,0.375,0.12,0.542,0
NA,NA,0.38,NA,NA,0
M,0.5,0.39,0.125,0.5215,0
F,0.505,0.39,0.125,0.5445,0
I,0.51,0.405,0.125,0.6795,0
F,0.51,0.4,0.125,0.545,0
I,0.51,0.4,0.125,0.5575,0
I,0.51,0.38,0.115,0.5155,0
NA,NA,NA,0.125,NA,NA
M,NA,0.4,NA,0.7765,NA
I,0.52,0.38,0.135,0.5395,0
I,0.52,0.38,0.125,0.5545,0
F,NA,NA,0.15,1.019,0
I,0.525,0.4,0.13,0.6455,0
I,0.525,0.4,0.14,0.601,0
M,0.525,0.405,0.12,0.7555,0
I,0.525,0.395,0.12,0.608,0
NA,NA,0.4,NA,NA,0
I,0.535,0.39,0.125,0.599,0
I,0.54,0.42,0.14,NA,NA
M,0.545,0.39,0.135,0.7835,0
M,NA,0.41,NA,0.793,NA
M,0.545,NA,0.14,0.82,NA
F,0.55,0.415,0.135,0.8145,0
F,NA,NA,0.15,0.84,0
M,NA,NA,0.15,0.8315,0
M,0.56,NA,0.145,NA,0
M,0.56,0.445,0.16,0.8965,0
F,0.56,NA,0.155,0.6405,NA
M,0.56,0.415,0.145,0.852,0
M,0.565,0.455,0.15,0.9595,0
M,0.565,NA,0.15,0.99,NA
F,0.565,0.45,0.175,1.0095,0
M,0.57,NA,0.15,NA,0
F,0.57,0.445,0.145,0.8775,0
NA,NA,NA,0.15,NA,NA
F,0.575,0.46,0.145,0.9945,0
NA,NA,0.45,NA,NA,0
M,NA,0.435,NA,0.8455,NA
F,0.575,0.47,0.165,0.869,0
M,0.575,0.455,0.135,0.907,0
NA,0.575,0.435,0.13,NA,0
M,0.575,0.445,0.17,1.0225,0
M,0.575,0.445,0.145,NA,NA
NA,0.58,0.455,0.15,NA,0
M,0.58,0.455,0.195,NA,NA
M,0.58,0.445,0.135,NA,NA
M,NA,NA,0.14,0.9615,0
M,NA,0.45,NA,1.0025,NA
F,0.58,0.45,0.155,NA,NA
M,0.585,0.46,0.145,0.9335,0
M,NA,NA,0.16,0.9555,0
M,0.59,0.47,0.15,0.9955,0
F,0.6,NA,0.16,1.0265,NA
NA,0.6,0.455,0.17,NA,0
F,0.6,0.465,0.15,1.1025,0
NA,0.6,0.465,0.155,NA,0
F,0.605,0.47,0.165,1.1775,0
M,0.605,0.475,0.14,1.1175,0
M,0.605,0.48,0.17,1.1835,0
F,0.605,0.475,0.165,1.056,0
M,0.61,0.485,0.16,1.0145,0
M,NA,0.485,NA,1.3305,NA
M,0.61,0.47,0.165,NA,NA
M,0.615,0.46,0.17,1.0565,0
F,NA,NA,0.15,0.923,0
F,0.615,0.475,0.155,1.027,0
M,0.62,NA,0.135,1.0195,NA
NA,NA,0.45,NA,NA,0
F,NA,NA,0.16,1.1125,0
F,0.625,0.485,0.175,1.3745,0
M,NA,0.48,NA,1.2065,NA
M,0.63,0.47,0.155,1.1325,0
M,NA,0.5,NA,1.2645,NA
F,0.635,0.495,0.015,1.1565,0
M,0.64,NA,0.165,1.369,NA
NA,0.645,0.53,0.195,NA,0
F,NA,0.48,NA,1.1345,NA
F,0.65,0.5,0.19,1.464,0
M,0.65,NA,0.155,NA,1
M,0.655,NA,0.16,NA,1
F,0.655,NA,0.175,NA,0
F,NA,0.53,NA,1.346,NA
NA,0.665,0.525,0.16,NA,0
NA,NA,0.5,NA,NA,0
F,0.67,NA,0.205,NA,0
NA,NA,NA,0.215,NA,NA
M,0.685,0.52,0.165,1.519,0
F,NA,NA,0.155,1.454,0
M,0.69,NA,0.21,NA,1
F,0.69,0.53,0.17,1.5535,0
M,0.695,0.56,0.185,1.74,0
M,0.7,NA,0.18,NA,0
M,NA,0.575,NA,2.273,NA
NA,0.7,0.525,0.19,NA,0
F,NA,NA,0.17,1.219,0
F,0.71,0.56,0.18,NA,NA
M,0.715,NA,0.19,2.0045,NA
M,0.715,0.535,0.19,1.6755,0
F,0.72,0.58,0.195,2.103,0
F,0.72,NA,0.2,NA,0
M,0.72,0.565,0.145,1.187,0
NA,NA,0.505,NA,NA,1
F,NA,NA,0.185,1.8795,1
M,0.735,0.585,0.185,2.124,1
M,NA,NA,0.215,1.931,1
F,0.75,NA,0.21,2.236,NA
F,0.755,0.625,0.21,2.505,1
M,NA,NA,0.205,2.0065,0
NA,NA,NA,0.215,NA,NA
NA,NA,NA,0.12,NA,NA
I,0.245,0.205,0.06,0.0765,0
I,0.25,0.185,0.065,0.0685,0
I,0.25,0.19,0.065,0.0835,0
I,0.275,0.195,0.09,0.1125,0
I,0.305,0.215,0.065,0.1075,0
I,0.31,0.225,0.07,0.1055,0
I,0.315,0.23,0.08,0.1375,0
I,0.315,0.23,0.07,0.1145,0
I,0.325,0.225,0.075,0.139,0
I,0.33,0.25,0.095,NA,NA
I,0.33,0.205,0.095,0.1595,0
I,0.335,0.245,0.09,0.2015,0
I,0.34,0.25,0.09,0.179,0
I,0.345,0.255,0.095,0.1945,0
I,0.345,0.255,0.085,0.2005,0
I,0.35,0.27,0.075,0.215,0
I,0.35,NA,0.09,0.1785,NA
I,0.36,0.27,0.085,0.196,0
I,0.365,NA,0.085,NA,0
I,0.365,0.27,0.085,0.196,0
I,0.365,0.265,0.085,0.213,0
I,0.37,0.29,0.09,0.2445,0
I,0.37,0.28,0.085,0.217,0
I,0.375,0.29,0.095,0.213,0
I,0.375,NA,0.085,NA,0
I,NA,NA,0.09,0.218,0
I,0.375,0.275,0.095,0.2465,0
I,0.375,NA,0.08,NA,0
I,0.375,0.27,0.085,0.218,0
I,0.38,0.275,0.11,0.256,0
I,0.38,0.27,0.08,0.2105,0
I,0.385,0.29,0.09,0.2615,0
I,0.385,0.28,0.085,0.2175,0
I,0.385,0.3,0.095,0.302,0
NA,NA,NA,0.09,NA,NA
I,0.39,0.3,0.095,0.3265,0
NA,NA,0.305,NA,NA,0
I,0.395,0.295,0.095,0.2725,0
I,0.395,0.27,0.1,0.2985,0
I,0.4,0.29,0.1,0.2675,0
I,0.405,0.285,0.09,0.2645,0
I,0.41,0.335,0.11,0.33,0
I,0.42,0.305,0.09,0.328,0
I,0.425,0.325,0.11,0.3335,0
I,0.425,0.32,0.1,0.3055,0
I,0.425,0.31,0.09,0.301,0
I,0.43,0.34,0,0.428,0
I,0.43,0.315,0.095,0.378,0
NA,0.435,0.315,0.11,NA,0
I,0.44,0.34,0.12,NA,NA
I,0.45,0.33,0.105,0.448,0
I,0.455,0.345,0.105,0.4005,0
F,0.455,NA,0.115,NA,0
I,0.455,0.33,0.1,0.372,0
I,0.46,0.36,0.105,0.466,0
I,0.46,0.35,0.105,0.3705,0
NA,0.46,0.365,0.125,NA,0
I,0.465,0.34,0.11,0.346,1
I,0.47,0.365,0.1,0.411,0
I,0.47,NA,0.18,0.48,NA
NA,NA,NA,0.12,NA,NA
I,0.475,0.355,0.1,0.5035,0
I,0.475,0.38,0.12,0.441,0
I,0.475,0.36,0.11,0.492,0
I,0.48,0.37,0.125,NA,NA
I,0.48,0.355,0.115,0.4725,0
I,0.48,0.365,0.1,NA,NA
I,NA,0.355,NA,0.4965,NA
I,NA,0.38,NA,0.5125,NA
NA,NA,0.395,NA,NA,0
I,0.5,0.38,0.135,0.594,0
M,0.5,0.42,0.135,0.6765,0
I,NA,NA,0.145,0.5795,0
NA,NA,0.41,NA,NA,0
I,0.5,0.375,0.125,0.5695,0
I,0.5,0.395,0.14,0.6215,0
I,0.505,0.405,0.13,0.6015,0
I,0.505,0.38,0.12,0.594,0
NA,0.505,0.395,0.105,NA,0
I,0.515,0.38,0.12,0.625,0
NA,0.515,0.42,0.135,NA,1
I,NA,0.4,NA,0.6965,NA
I,0.52,0.4,0.13,0.5825,0
I,0.52,0.395,0.125,0.663,0
I,0.525,0.4,0.125,NA,NA
M,0.525,0.42,0.155,0.842,0
I,0.53,NA,0.13,0.694,NA
NA,0.53,0.42,0.155,NA,0
I,NA,NA,0.11,0.5745,0
I,0.53,0.425,0.13,0.7675,0
I,0.535,NA,0.135,NA,0
I,0.535,NA,0.15,NA,0
F,0.535,NA,0.13,NA,0
M,0.535,0.435,0.15,0.717,0
F,NA,0.42,NA,0.8655,NA
I,0.54,0.42,0.14,0.7265,0
NA,0.545,0.435,0.135,NA,0
F,0.545,0.445,0.15,0.8,0
NA,NA,NA,0.15,NA,NA
I,0.545,0.405,0.135,0.5945,0
I,0.55,0.43,0.145,0.7895,1
F,0.55,0.405,0.125,NA,NA
NA,NA,NA,0.15,NA,NA
I,0.55,0.435,0.14,0.7535,0
I,0.55,0.425,0.135,0.7305,0
M,NA,0.44,NA,0.8705,NA
NA,NA,0.43,NA,NA,0
I,0.555,0.43,0.14,0.7665,0
I,0.555,0.425,0.145,NA,NA
I,0.56,0.425,0.135,NA,NA
I,0.56,0.425,0.145,0.688,0
F,0.56,0.445,0.155,1.224,0
I,0.56,NA,0.145,NA,0
I,0.565,0.44,0.175,0.8735,1
F,0.565,0.45,0.145,0.8495,0
M,0.565,0.445,0.15,0.796,0
M,0.565,0.39,0.125,0.744,1
I,0.57,0.45,0.145,0.751,0
I,0.57,0.45,0.135,0.794,0
F,0.57,0.46,0.135,0.9795,0
M,NA,0.435,NA,0.873,NA
I,0.57,0.44,0.13,0.7665,0
M,0.57,0.435,0.125,0.8965,0
F,0.575,0.42,0.135,0.857,0
F,0.575,0.48,0.165,1.078,0
M,NA,NA,0.155,0.892,0
NA,NA,NA,0.155,NA,NA
M,NA,0.455,NA,0.7955,NA
F,0.58,0.445,0.15,0.858,0
M,0.585,0.465,0.155,0.9145,0
M,NA,0.49,NA,1.171,NA
I,0.585,0.475,0.16,1.0505,0
M,0.585,NA,0.165,1.1135,NA
M,NA,0.47,NA,1.409,NA
M,0.585,0.475,0.15,1.065,0
M,0.585,0.45,0.18,0.7995,0
I,0.59,0.445,0.135,0.7715,0
M,0.59,0.47,0.18,1.187,0
M,0.59,NA,0.155,NA,0
F,0.595,0.465,0.15,NA,NA
F,0.595,0.465,0.155,1.026,1
M,0.6,0.475,0.17,1.1315,0
NA,0.6,0.48,0.155,NA,1
I,0.6,0.475,0.15,NA,NA
F,0.6,0.465,0.155,1.04,1
F,0.6,0.455,0.145,0.8895,0
M,NA,NA,0.155,0.9595,1
I,0.605,0.485,0.15,1.238,1
M,NA,NA,0.14,0.9755,0
I,NA,NA,0.13,0.9025,1
NA,0.605,0.475,0.175,NA,0
F,NA,0.47,NA,1.0835,NA
M,0.61,0.45,0.15,0.871,0
NA,0.61,0.48,0.165,NA,1
M,0.61,NA,0.17,1.0265,NA
I,0.61,0.465,0.15,0.9605,0
M,0.61,NA,0.17,1.137,NA
M,0.61,0.46,0.16,1,0
F,0.615,0.475,0.155,1.004,0
M,NA,NA,0.165,1.128,0
M,0.615,0.5,0.17,1.054,0
NA,NA,0.475,NA,NA,1
NA,NA,NA,0.17,NA,NA
M,0.615,0.48,0.175,1.118,0
F,0.615,0.475,0.155,1.115,0
NA,0.62,0.51,0.175,NA,0
M,0.62,0.495,0.18,NA,NA
F,0.62,NA,0.15,1.293,NA
F,0.62,0.475,0.16,1.1295,0
M,0.625,NA,0.17,NA,0
NA,NA,0.505,NA,NA,1
F,0.625,0.515,0.16,1.264,0
F,0.625,0.48,0.155,1.2035,1
F,0.63,NA,0.17,1.3205,NA
I,NA,NA,0.18,1.272,1
NA,NA,0.485,NA,NA,1
I,0.63,0.475,0.145,1.0605,0
NA,NA,NA,0.16,NA,NA
M,0.635,0.49,0.16,1.101,0
NA,NA,NA,0.165,NA,NA
F,0.635,0.495,0.175,1.211,0
NA,0.635,0.475,0.17,NA,0
M,0.635,NA,0.155,NA,0
M,0.64,NA,0.23,1.521,NA
NA,NA,NA,0.18,NA,NA
NA,NA,0.51,NA,NA,1
NA,NA,NA,0.195,NA,NA
M,0.645,0.525,0.16,NA,NA
NA,NA,0.505,NA,NA,1
F,NA,0.59,NA,1.662,NA
M,0.65,0.525,0.175,NA,NA
M,NA,0.51,NA,1.542,NA
F,NA,0.51,NA,1.567,NA
